episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
3,5,406.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,17.14,6.62,7,8,8,0.3077,0.0662,0.4,0.0308,-0.0331,-0.08,0.0092,0.0,-0.1039,-0.0539,-0.0638,0.99,26
3,6,472.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.62,27.57,8,7,30,0.4545,0.2757,0.35,0.0455,-0.1379,-0.07,0.0136,0.0,-0.1942,-0.189,-0.1973,0.99,66
3,7,518.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,27.57,16.14,7,7,20,0.4348,0.1614,0.35,0.0435,-0.0807,-0.07,0.013,0.0,-0.1377,-0.1345,-0.1406,0.99,46
3,8,614.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.14,42.29,7,7,42,0.4375,0.4229,0.35,0.0437,-0.2114,-0.07,0.0131,0.0,-0.2683,-0.1793,-0.1959,0.99,96
3,9,710.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,42.29,41.71,7,7,41,0.4271,0.4171,0.35,0.0427,-0.2086,-0.07,0.0128,0.0,-0.2658,-0.1697,-0.1871,0.99,96
3,10,756.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,41.71,16.0,7,7,19,0.413,0.16,0.35,0.0413,-0.08,-0.07,0.0124,0.0,-0.1376,-0.1406,-0.146,0.99,46
3,11,782.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,16.0,5.86,7,7,10,0.3846,0.0586,0.35,0.0385,-0.0293,-0.07,0.0115,0.0,-0.0877,-0.0638,-0.0719,0.99,26
3,12,878.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,5.86,41.43,7,7,42,0.4375,0.4143,0.35,0.0437,-0.2071,-0.07,0.0131,0.0,-0.264,-0.1959,-0.2104,0.99,96
3,13,904.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,41.43,8.43,7,7,8,0.3077,0.0843,0.35,0.0308,-0.0421,-0.07,0.0092,0.0,-0.1029,-0.0859,-0.0941,0.99,26
3,14,970.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,8.43,26.57,7,7,29,0.4394,0.2657,0.35,0.0439,-0.1329,-0.07,0.0132,0.0,-0.1897,-0.1973,-0.205,0.99,66
